"India’s education policy should focus on elevating public schools through better infrastructure, trained and fairly compensated teachers, inclusive decision-making, and updated curricula that emphasize critical thinking, real-world skills, and digital access—while fostering healthy collaboration and accountability between public and private institutions to ensure equitable and high-quality education for all.","India's education policy should focus on improving the quality and accessibility of public education by investing in infrastructure, technology, teacher training and compensation, curriculum updates emphasizing critical thinking, problem-solving, and relevant skills, while also establishing better oversight and accountability for both public and private institutions through feedback mechanisms and potentially public-private partnerships to ensure equitable and quality education for all 
","India's education policy should focus on improving the quality of public schools through better teacher compensation, enhanced infrastructure, critical thinking-centered curricula, and digital literacy, while establishing stronger accountability mechanisms that incorporate feedback from teachers, students, and parents to create an accessible and forward-looking educational system that provides opportunities for all children regardless of socioeconomic background ",Please rate the above statements in decreasing order of your agreement with their contents.,"India's education policy should focus on enhanced collaboration with industry to integrate practical skills, provide real-world exposure through internships and project-based learning, and ensure the curriculum remains relevant and equips graduates with adaptable skills for the job market","India's education policy should focus on fostering strong collaboration between academia and industry to promote hands-on, project-based learning and develop adaptable, real-world skills such as communication, critical thinking, and digital literacy ","India's education policy should focus on strengthening collaboration between academic institutions and industry through internship programs, project-based learning, and co-designed curricula that balance theoretical knowledge with practical skills development, ensuring students graduate with relevant competencies for the modern workforce",Please rate the above statements in decreasing order of your agreement with their contents.,"India's education policy should focus on increasing awareness through internet-accessible resources like standard-based video lectures, providing better guidance for students, developing meaningful project-based learning, and establishing a quality oversight board to improve underperforming institutions","India's education policy should focus on increasing awareness, ensuring access to quality standardized resources like government-approved video lectures, promoting meaningful project-based learning, and establishing a transparent body to uplift or reform substandard institutions","India's education policy should focus on strategically integrating AI and digital tools to personalize learning, enhance teaching effectiveness, and provide flexibility, while also prioritizing teacher quality through better compensation, rigorous selection, and continuous training, and shifting towards more practical, competency-based assessments that emphasize completion over competition",Please rate the above statements in decreasing order of your agreement with their contents.,"India's education policy should focus on revamping primary education to prioritize core subjects like mathematics, science, and economics, while eliminating outdated content and ensuring better teaching quality","India's education policy should focus on increasing awareness and guidance, potentially through accessible resources like cheaper internet, awareness campaigns, recorded standard lectures, government-approved video content, and establishing a quality board to address underperforming institutions and ensure standardized education","India's education policy should focus on goal-oriented learning that aligns curriculum with socioeconomic needs, emphasizes practical outcomes for employment, and adapts regularly to changing job market requirements, all while fostering student purpose and self-care",Please rate the above statements in decreasing order of your agreement with their contents.
2,4,3,2 > 3 >  1,4,4,4,2 > 3 > 1,3,2,3,3 > 1 > 2,4,3,4,1 > 3 > 2
5,5,5,2 > 1 > 3,5,5,4,3 > 2 > 1,5,5,5,3 > 1 > 2,5,4,5,1 > 3 > 2
3,4,4,2 > 3 >  1,4,3,4,1 > 2 > 3,3,4,5,3 > 2 > 1,4,3,4,3 > 1 > 2
4,5,4,2 > 1 > 3,4,5,4,2 > 1 > 3,4,3,5,3 > 1 > 2,5,4,5,3 > 1 > 2
5,5,5,3 > 2 > 1,5,5,4,2 > 3 > 1,5,5,5,3 > 1 > 2,5,4,5,3 > 1 > 2
5,5,4,2 > 1 > 3,5,5,4,1 > 3 > 2,4,5,5,3 > 2 > 1,4,4,5,3 > 1 > 2
5,4,4,1 > 2 = 3,5,5,4,3 > 1 > 2,5,5,4,2 > 1 > 3,4,5,4,2 > 3 > 1
5,4,4,1 > 2 = 3,5,5,4,1 = 2 = 3,3,4,4,2 > 3 > 1,5,4,4,1 > 3 > 2
4,5,5,2 > 3 >  1,5,3,4,1 > 3 > 2,5,4,3,1 > 2 > 3,4,3,3,1 > 3 > 2
3,3,4,3 > 1 >  2,3,4,4,3 > 2 > 1,4,5,4,2 > 3 > 1,4,3,3,1 > 3 > 2
4,5,4,2 > 3 >  1,2,3,4,3 > 2 > 1,5,5,3,2 > 1 > 3,4,4,5,3 > 1 > 2
4,5,5,2 > 3 >  1,3,4,4,2 > 3 > 1,5,5,3,2 > 1 > 3,3,3,3,3 > 1 > 2
2,4,3,2 > 3 >  1,4,4,4,2 > 3 > 1,3,2,3,3 > 1 > 2,4,3,4,3 > 1 > 2
5,5,5,2 > 1 > 3,5,5,4,1 > 2 > 3,5,5,5,3 > 2 > 1,5,4,5,3 > 1 > 2
3,4,4,2 = 3 > 1,4,3,4,3 > 1 > 2,3,4,5,3 > 2 > 1,4,3,4,1 > 3 > 2
4,5,4,2 > 1 = 3,4,5,4,2 > 1 = 3,4,3,5,3 > 1 > 2,5,4,5,1 > 3 > 2
5,5,5,2 > 3 >  1,5,5,4,2 > 1 > 3,5,5,5,3 > 1 > 2,5,4,5,1 = 3 > 2
5,5,4,2 > 1 > 3,5,5,4,1 > 2 > 3,5,4,5,3 > 1 > 2,4,4,5,3 > 1 > 2
5,4,4,3 > 1 >  2,5,5,4,1 > 2 > 3,5,5,4,2 > 1 > 3,4,5,4,2 > 3 > 1
